iso3,country,year,CPI
AFG,Afghanistan,2012,8.0
AFG,Afghanistan,2018,16.0
AFG,Afghanistan,2024,17.0
ALB,Albania,2012,33.0
ALB,Albania,2018,36.0
ALB,Albania,2024,42.0
DZA,Algeria,2012,34.0
DZA,Algeria,2018,35.0
DZA,Algeria,2024,34.0
AGO,Angola,2012,22.0
AGO,Angola,2018,19.0
AGO,Angola,2024,32.0
ARG,Argentina,2012,35.0
ARG,Argentina,2018,40.0
ARG,Argentina,2024,37.0
ARM,Armenia,2012,34.0
ARM,Armenia,2018,35.0
ARM,Armenia,2024,47.0
AUS,Australia,2012,85.0
AUS,Australia,2018,77.0
AUS,Australia,2024,77.0
AUT,Austria,2012,69.0
AUT,Austria,2018,76.0
AUT,Austria,2024,67.0
AZE,Azerbaijan,2012,27.0
AZE,Azerbaijan,2018,25.0
AZE,Azerbaijan,2024,22.0
BHS,Bahamas,2012,71.0
BHS,Bahamas,2018,65.0
BHS,Bahamas,2024,65.0
BHR,Bahrain,2012,51.0
BHR,Bahrain,2018,36.0
BHR,Bahrain,2024,53.0
BGD,Bangladesh,2012,26.0
BGD,Bangladesh,2018,26.0
BGD,Bangladesh,2024,23.0
BRB,Barbados,2012,76.0
BRB,Barbados,2018,68.0
BRB,Barbados,2024,68.0
BLR,Belarus,2012,31.0
BLR,Belarus,2018,44.0
BLR,Belarus,2024,33.0
BEL,Belgium,2012,75.0
BEL,Belgium,2018,75.0
BEL,Belgium,2024,69.0
BEN,Benin,2012,36.0
BEN,Benin,2018,40.0
BEN,Benin,2024,45.0
BTN,Bhutan,2012,63.0
BTN,Bhutan,2018,68.0
BTN,Bhutan,2024,72.0
BOL,Bolivia,2012,34.0
BOL,Bolivia,2018,29.0
BOL,Bolivia,2024,28.0
BIH,Bosnia and Herzegovina,2012,42.0
BIH,Bosnia and Herzegovina,2018,38.0
BIH,Bosnia and Herzegovina,2024,33.0
BWA,Botswana,2012,65.0
BWA,Botswana,2018,61.0
BWA,Botswana,2024,57.0
BRA,Brazil,2012,43.0
BRA,Brazil,2018,35.0
BRA,Brazil,2024,34.0
BRN,Brunei Darussalam,2012,55.0
BRN,Brunei Darussalam,2018,63.0
BGR,Bulgaria,2012,41.0
BGR,Bulgaria,2018,42.0
BGR,Bulgaria,2024,43.0
BFA,Burkina Faso,2012,38.0
BFA,Burkina Faso,2018,41.0
BFA,Burkina Faso,2024,41.0
BDI,Burundi,2012,19.0
BDI,Burundi,2018,17.0
BDI,Burundi,2024,17.0
CPV,Cabo Verde,2012,60.0
CPV,Cabo Verde,2018,57.0
CPV,Cabo Verde,2024,62.0
KHM,Cambodia,2012,22.0
KHM,Cambodia,2018,20.0
KHM,Cambodia,2024,21.0
CMR,Cameroon,2012,26.0
CMR,Cameroon,2018,25.0
CMR,Cameroon,2024,26.0
CAN,Canada,2012,84.0
CAN,Canada,2018,81.0
CAN,Canada,2024,75.0
CAF,Central African Republic,2012,26.0
CAF,Central African Republic,2018,26.0
CAF,Central African Republic,2024,24.0
TCD,Chad,2012,19.0
TCD,Chad,2018,19.0
TCD,Chad,2024,21.0
CHL,Chile,2012,72.0
CHL,Chile,2018,67.0
CHL,Chile,2024,63.0
CHN,China,2012,39.0
CHN,China,2018,39.0
CHN,China,2024,43.0
COL,Colombia,2012,36.0
COL,Colombia,2018,36.0
COL,Colombia,2024,39.0
COM,Comoros,2012,28.0
COM,Comoros,2018,27.0
COM,Comoros,2024,21.0
COG,Congo,2012,26.0
COG,Congo,2018,19.0
COG,Congo,2024,23.0
CRI,Costa Rica,2012,54.0
CRI,Costa Rica,2018,56.0
CRI,Costa Rica,2024,58.0
CIV,Cote d'Ivoire,2012,29.0
CIV,Cote d'Ivoire,2018,35.0
CIV,Cote d'Ivoire,2024,45.0
HRV,Croatia,2012,46.0
HRV,Croatia,2018,48.0
HRV,Croatia,2024,47.0
CUB,Cuba,2012,48.0
CUB,Cuba,2018,47.0
CUB,Cuba,2024,41.0
CYP,Cyprus,2012,66.0
CYP,Cyprus,2018,59.0
CYP,Cyprus,2024,56.0
CZE,Czechia,2012,49.0
CZE,Czechia,2018,59.0
CZE,Czechia,2024,56.0
COD,Democratic Republic of the Congo,2012,21.0
COD,Democratic Republic of the Congo,2018,20.0
COD,Democratic Republic of the Congo,2024,20.0
DNK,Denmark,2012,90.0
DNK,Denmark,2018,88.0
DNK,Denmark,2024,90.0
DJI,Djibouti,2012,36.0
DJI,Djibouti,2018,31.0
DJI,Djibouti,2024,31.0
DMA,Dominica,2012,58.0
DMA,Dominica,2018,57.0
DMA,Dominica,2024,60.0
DOM,Dominican Republic,2012,32.0
DOM,Dominican Republic,2018,30.0
DOM,Dominican Republic,2024,36.0
ECU,Ecuador,2012,32.0
ECU,Ecuador,2018,34.0
ECU,Ecuador,2024,32.0
EGY,Egypt,2012,32.0
EGY,Egypt,2018,35.0
EGY,Egypt,2024,30.0
SLV,El Salvador,2012,38.0
SLV,El Salvador,2018,35.0
SLV,El Salvador,2024,30.0
GNQ,Equatorial Guinea,2012,20.0
GNQ,Equatorial Guinea,2018,16.0
GNQ,Equatorial Guinea,2024,13.0
ERI,Eritrea,2012,25.0
ERI,Eritrea,2018,24.0
ERI,Eritrea,2024,13.0
EST,Estonia,2012,64.0
EST,Estonia,2018,73.0
EST,Estonia,2024,76.0
SWZ,Eswatini,2012,37.0
SWZ,Eswatini,2018,38.0
SWZ,Eswatini,2024,27.0
ETH,Ethiopia,2012,33.0
ETH,Ethiopia,2018,34.0
ETH,Ethiopia,2024,37.0
FJI,Fiji,2024,55.0
FIN,Finland,2012,90.0
FIN,Finland,2018,85.0
FIN,Finland,2024,88.0
FRA,France,2012,71.0
FRA,France,2018,72.0
FRA,France,2024,67.0
GAB,Gabon,2012,35.0
GAB,Gabon,2018,31.0
GAB,Gabon,2024,27.0
GMB,Gambia,2012,34.0
GMB,Gambia,2018,37.0
GMB,Gambia,2024,38.0
GEO,Georgia,2012,52.0
GEO,Georgia,2018,58.0
GEO,Georgia,2024,53.0
DEU,Germany,2012,79.0
DEU,Germany,2018,80.0
DEU,Germany,2024,75.0
GHA,Ghana,2012,45.0
GHA,Ghana,2018,41.0
GHA,Ghana,2024,42.0
GRC,Greece,2012,36.0
GRC,Greece,2018,45.0
GRC,Greece,2024,49.0
GRD,Grenada,2018,52.0
GRD,Grenada,2024,56.0
GTM,Guatemala,2012,33.0
GTM,Guatemala,2018,27.0
GTM,Guatemala,2024,25.0
GIN,Guinea,2012,24.0
GIN,Guinea,2018,28.0
GIN,Guinea,2024,28.0
GNB,Guinea Bissau,2012,25.0
GNB,Guinea Bissau,2018,16.0
GNB,Guinea Bissau,2024,21.0
GUY,Guyana,2012,28.0
GUY,Guyana,2018,37.0
GUY,Guyana,2024,39.0
HTI,Haiti,2012,19.0
