iso3,country,year,ECI
AFG,AFG,1995,-0.601
AFG,AFG,1996,-0.59
AFG,AFG,1997,-0.255
AFG,AFG,1998,-0.725
AFG,AFG,1999,-0.527
AFG,AFG,2000,-0.453
AFG,AFG,2001,-0.119
AFG,AFG,2002,-0.301
AFG,AFG,2003,-0.199
AFG,AFG,2004,-0.322
AFG,AFG,2005,0.02
AFG,AFG,2006,-0.657
AFG,AFG,2007,-0.738
AFG,AFG,2008,-0.092
AFG,AFG,2009,0.373
AFG,AFG,2010,-0.162
AFG,AFG,2011,-0.918
AFG,AFG,2012,-0.771
AFG,AFG,2013,-0.795
AFG,AFG,2014,-1.027
AFG,AFG,2015,-1.377
AFG,AFG,2016,-1.526
AFG,AFG,2017,-1.418
AFG,AFG,2018,-1.325
AFG,AFG,2019,-1.225
AFG,AFG,2020,-1.154
AFG,AFG,2021,-1.327
AFG,AFG,2022,-1.364
AFG,AFG,2023,-1.277
AFG,AFG,2024,-0.818
ALB,ALB,1995,-0.456
ALB,ALB,1996,-0.226
ALB,ALB,1997,-0.351
ALB,ALB,1998,-0.355
ALB,ALB,1999,-0.3
ALB,ALB,2000,-0.262
ALB,ALB,2001,-0.295
ALB,ALB,2002,-0.194
ALB,ALB,2003,-0.101
ALB,ALB,2004,-0.122
ALB,ALB,2005,-0.134
ALB,ALB,2006,-0.279
ALB,ALB,2007,-0.296
ALB,ALB,2008,0.351
ALB,ALB,2009,0.357
ALB,ALB,2010,-0.374
ALB,ALB,2011,-0.465
ALB,ALB,2012,-0.3
ALB,ALB,2013,-0.264
ALB,ALB,2014,-0.402
ALB,ALB,2015,-0.505
ALB,ALB,2016,-0.428
ALB,ALB,2017,-0.331
ALB,ALB,2018,-0.257
ALB,ALB,2019,-0.292
ALB,ALB,2020,-0.24
ALB,ALB,2021,-0.22
ALB,ALB,2022,-0.279
ALB,ALB,2023,-0.156
ALB,ALB,2024,0.032
DZA,DZA,1995,-0.102
DZA,DZA,1996,-0.244
DZA,DZA,1997,-0.327
DZA,DZA,1998,-0.203
DZA,DZA,1999,-0.085
DZA,DZA,2000,-0.416
DZA,DZA,2001,-0.426
DZA,DZA,2002,-0.389
DZA,DZA,2003,-0.732
DZA,DZA,2004,-0.509
DZA,DZA,2005,-0.367
DZA,DZA,2006,-0.574
DZA,DZA,2007,-0.635
DZA,DZA,2008,-1.006
DZA,DZA,2009,-0.966
DZA,DZA,2010,-1.069
DZA,DZA,2011,-1.384
DZA,DZA,2012,-1.272
DZA,DZA,2013,-1.329
DZA,DZA,2014,-1.5
DZA,DZA,2015,-1.207
DZA,DZA,2016,-0.941
DZA,DZA,2017,-0.979
DZA,DZA,2018,-1.354
DZA,DZA,2019,-1.052
DZA,DZA,2020,-1.063
DZA,DZA,2021,-0.995
DZA,DZA,2022,-0.731
DZA,DZA,2023,-1.055
DZA,DZA,2024,-0.978
AGO,AGO,1995,-2.297
AGO,AGO,1996,-2.459
AGO,AGO,1997,-1.931
AGO,AGO,1998,-1.73
AGO,AGO,1999,-1.84
AGO,AGO,2000,-2.299
AGO,AGO,2001,-2.076
AGO,AGO,2002,-1.728
AGO,AGO,2003,-1.699
AGO,AGO,2004,-0.788
AGO,AGO,2005,-0.995
AGO,AGO,2006,-1.215
AGO,AGO,2007,-1.349
AGO,AGO,2008,-0.892
AGO,AGO,2009,-0.489
AGO,AGO,2010,-1.099
AGO,AGO,2011,-1.131
AGO,AGO,2012,-1.736
AGO,AGO,2013,-2.092
AGO,AGO,2014,-2.133
AGO,AGO,2015,-0.544
AGO,AGO,2016,-0.559
AGO,AGO,2017,-0.988
AGO,AGO,2018,-1.604
AGO,AGO,2019,-1.101
AGO,AGO,2020,-1.117
AGO,AGO,2021,-1.088
AGO,AGO,2022,-0.947
AGO,AGO,2023,-1.161
AGO,AGO,2024,-0.768
AZE,AZE,1995,-0.41
AZE,AZE,1996,0.316
AZE,AZE,1997,0.303
AZE,AZE,1998,0.444
AZE,AZE,1999,0.138
AZE,AZE,2000,-0.11
AZE,AZE,2001,-0.267
AZE,AZE,2002,-0.333
AZE,AZE,2003,-0.244
AZE,AZE,2004,-0.326
AZE,AZE,2005,-0.441
AZE,AZE,2006,-0.433
AZE,AZE,2007,-0.603
AZE,AZE,2008,-0.828
AZE,AZE,2009,-1.062
AZE,AZE,2010,-0.989
AZE,AZE,2011,-0.931
AZE,AZE,2012,-0.986
AZE,AZE,2013,-1.001
AZE,AZE,2014,-1.1
AZE,AZE,2015,-0.823
AZE,AZE,2016,-0.912
AZE,AZE,2017,-0.959
AZE,AZE,2018,-0.831
AZE,AZE,2019,-0.799
AZE,AZE,2020,-0.689
AZE,AZE,2021,-0.766
AZE,AZE,2022,-0.739
AZE,AZE,2023,-0.523
AZE,AZE,2024,-0.417
ARG,ARG,1995,0.618
ARG,ARG,1996,0.557
ARG,ARG,1997,0.546
ARG,ARG,1998,0.564
ARG,ARG,1999,0.611
ARG,ARG,2000,0.662
ARG,ARG,2001,0.607
ARG,ARG,2002,0.577
ARG,ARG,2003,0.551
ARG,ARG,2004,0.538
ARG,ARG,2005,0.584
ARG,ARG,2006,0.553
ARG,ARG,2007,0.532
ARG,ARG,2008,0.575
ARG,ARG,2009,0.482
ARG,ARG,2010,0.453
ARG,ARG,2011,0.427
ARG,ARG,2012,0.417
ARG,ARG,2013,0.411
ARG,ARG,2014,0.413
ARG,ARG,2015,0.367
ARG,ARG,2016,0.179
ARG,ARG,2017,0.175
ARG,ARG,2018,0.068
ARG,ARG,2019,0.063
ARG,ARG,2020,0.022
ARG,ARG,2021,-0.108
ARG,ARG,2022,-0.011
ARG,ARG,2023,0.011
ARG,ARG,2024,-0.053
AUS,AUS,1995,0.768
AUS,AUS,1996,0.762
AUS,AUS,1997,0.701
AUS,AUS,1998,0.654
AUS,AUS,1999,0.657
AUS,AUS,2000,0.652
AUS,AUS,2001,0.648
AUS,AUS,2002,0.643
AUS,AUS,2003,0.657
AUS,AUS,2004,0.594
AUS,AUS,2005,0.566
AUS,AUS,2006,0.565
AUS,AUS,2007,0.556
AUS,AUS,2008,0.471
AUS,AUS,2009,0.448
AUS,AUS,2010,0.328
AUS,AUS,2011,0.371
AUS,AUS,2012,0.35
AUS,AUS,2013,0.292
AUS,AUS,2014,0.252
AUS,AUS,2015,0.262
AUS,AUS,2016,0.241
AUS,AUS,2017,0.144
AUS,AUS,2018,0.151
AUS,AUS,2019,0.203
AUS,AUS,2020,0.21
AUS,AUS,2021,0.083
AUS,AUS,2022,0.108
AUS,AUS,2023,0.091
AUS,AUS,2024,0.131
AUT,AUT,1995,1.458
AUT,AUT,1996,1.432
AUT,AUT,1997,1.37
AUT,AUT,1998,1.376
AUT,AUT,1999,1.365
AUT,AUT,2000,1.442
AUT,AUT,2001,1.409
AUT,AUT,2002,1.455
AUT,AUT,2003,1.449
AUT,AUT,2004,1.402
AUT,AUT,2005,1.342
AUT,AUT,2006,1.34
AUT,AUT,2007,1.368
AUT,AUT,2008,1.354
AUT,AUT,2009,1.371
AUT,AUT,2010,1.413
AUT,AUT,2011,1.429
AUT,AUT,2012,1.384
AUT,AUT,2013,1.402
AUT,AUT,2014,1.439
AUT,AUT,2015,1.466
AUT,AUT,2016,1.444
AUT,AUT,2017,1.412
AUT,AUT,2018,1.4
AUT,AUT,2019,1.376
AUT,AUT,2020,1.364
AUT,AUT,2021,1.369
AUT,AUT,2022,1.362
AUT,AUT,2023,1.37
AUT,AUT,2024,1.249
BHR,BHR,1995,0.441
BHR,BHR,1996,0.336
BHR,BHR,1997,0.321
BHR,BHR,1998,0.346
BHR,BHR,1999,0.302
BHR,BHR,2000,-0.043
BHR,BHR,2001,0.066
BHR,BHR,2002,0.044
BHR,BHR,2003,0.14
BHR,BHR,2004,0.143
BHR,BHR,2005,0.449
BHR,BHR,2006,0.364
BHR,BHR,2007,0.511
BHR,BHR,2008,0.462
BHR,BHR,2009,0.411
BHR,BHR,2010,0.469
BHR,BHR,2011,0.48
BHR,BHR,2012,0.54
BHR,BHR,2013,0.531
BHR,BHR,2014,0.521
BHR,BHR,2015,0.629
BHR,BHR,2016,0.61
BHR,BHR,2017,0.643
BHR,BHR,2018,0.513
BHR,BHR,2019,0.643
BHR,BHR,2020,0.681
BHR,BHR,2021,0.709
BHR,BHR,2022,0.586
BHR,BHR,2023,0.71
BHR,BHR,2024,0.285
BGD,BGD,1995,-0.912
BGD,BGD,1996,-0.93
BGD,BGD,1997,-0.873
BGD,BGD,1998,-0.99
BGD,BGD,1999,-1.151
BGD,BGD,2000,-0.886
BGD,BGD,2001,-0.86
BGD,BGD,2002,-1.019
BGD,BGD,2003,-0.992
BGD,BGD,2004,-0.878
BGD,BGD,2005,-0.884
BGD,BGD,2006,-0.824
BGD,BGD,2007,-0.867
BGD,BGD,2008,-0.854
BGD,BGD,2009,-1.008
BGD,BGD,2010,-0.974
BGD,BGD,2011,-1.181
BGD,BGD,2012,-0.875
BGD,BGD,2013,-0.862
BGD,BGD,2014,-1.065
BGD,BGD,2015,-0.998
BGD,BGD,2016,-0.968
BGD,BGD,2017,-0.576
BGD,BGD,2018,-0.618
BGD,BGD,2019,-0.854
BGD,BGD,2020,-0.664
BGD,BGD,2021,-0.615
BGD,BGD,2022,-0.72
BGD,BGD,2023,-0.63
BGD,BGD,2024,-0.439
ARM,ARM,1995,0.092
ARM,ARM,1996,0.895
ARM,ARM,1997,1.062
ARM,ARM,1998,0.777
ARM,ARM,1999,0.631
ARM,ARM,2000,0.682
ARM,ARM,2001,0.636
ARM,ARM,2002,0.554
ARM,ARM,2003,0.453
ARM,ARM,2004,0.478
ARM,ARM,2005,0.332
ARM,ARM,2006,0.263
ARM,ARM,2007,0.724
ARM,ARM,2008,0.359
