iso3,country,year,GII
AGO,Angola,2012,22.2
ALB,Albania,2012,30.4
ARE,United Arab Emirates,2012,44.4
ARG,Argentina,2012,34.4
ARM,Armenia,2012,34.5
AUS,Australia,2012,51.9
AUT,Austria,2012,53.1
AZE,Azerbaijan,2012,30.4
BDI,Burundi,2012,20.5
BEL,Belgium,2012,54.3
BEN,Benin,2012,24.4
BFA,Burkina Faso,2012,24.6
BGD,Bangladesh,2012,26.1
BGR,Bulgaria,2012,40.7
BHR,Bahrain,2012,41.1
BIH,Bosnia and Herzegovina,2012,34.2
BLR,Belarus,2012,32.9
BLZ,Belize,2012,32.5
BOL,Bolivia (Plurinational State of),2012,25.8
BRA,Brazil,2012,36.6
BRN,Brunei Darussalam,2012,37.7
BWA,Botswana,2012,31.4
CAN,Canada,2012,56.9
CHE,Switzerland,2012,68.2
CHL,Chile,2012,42.7
CHN,China,2012,45.4
CIV,Cote dIvoire,2012,22.6
CMR,Cameroon,2012,25.0
COL,Colombia,2012,35.5
CRI,Costa Rica,2012,36.3
CYP,Cyprus,2012,47.9
CZE,Czech Republic,2012,49.7
DEU,Germany,2012,56.2
DNK,Denmark,2012,59.9
DOM,Dominican Republic,2012,30.9
DZA,Algeria,2012,24.4
ECU,Ecuador,2012,28.5
EGY,Egypt,2012,27.9
ESP,Spain,2012,47.2
EST,Estonia,2012,55.3
ETH,Ethiopia,2012,23.3
FIN,Finland,2012,61.8
FJI,Fiji,2012,27.9
FRA,France,2012,51.8
GAB,Gabon,2012,26.5
GBR,United Kingdom,2012,61.2
GEO,Georgia,2012,34.3
GHA,Ghana,2012,29.6
GMB,Gambia,2012,23.3
GRC,Greece,2012,35.3
GTM,Guatemala,2012,28.4
GUY,Guyana,2012,33.7
HKG,Hong Kong (China),2012,58.7
HND,Honduras,2012,26.3
HRV,Croatia,2012,40.7
HUN,Hungary,2012,46.5
IDN,Indonesia,2012,28.1
IND,India,2012,35.7
IRL,Ireland,2012,58.7
IRN,Iran (Islamic Republic of),2012,27.3
ISL,Iceland,2012,55.7
ISR,Israel,2012,56.0
ITA,Italy,2012,44.5
JAM,Jamaica,2012,30.2
JOR,Jordan,2012,37.1
JPN,Japan,2012,51.7
KAZ,Kazakhstan,2012,31.9
KEN,Kenya,2012,28.9
KGZ,Kyrgyzstan,2012,26.4
KHM,Cambodia,2012,23.4
KOR,Republic of Korea (the),2012,53.9
KWT,Kuwait,2012,37.2
LAO,Lao People's Democratic Republic,2012,20.2
LBN,Lebanon,2012,36.2
LKA,Sri Lanka,2012,29.1
LSO,Lesotho,2012,25.7
LTU,Lithuania,2012,44.0
LUX,Luxembourg,2012,57.7
LVA,Latvia,2012,47.0
MAR,Morocco,2012,30.7
MDA,Republic of Moldova (the),2012,39.2
MDG,Madagascar,2012,24.2
MEX,Mexico,2012,32.9
MKD,North Macedonia*,2012,36.2
MLI,Mali,2012,25.4
MLT,Malta,2012,56.1
MNE,Montenegro,2012,40.1
MNG,Mongolia,2012,35.0
MOZ,Mozambique,2012,26.3
MUS,Mauritius,2012,39.2
MWI,Malawi,2012,25.4
MYS,Malaysia,2012,45.9
NAM,Namibia,2012,34.1
NER,Niger,2012,18.6
NGA,Nigeria,2012,24.6
NIC,Nicaragua,2012,26.7
NLD,Netherlands,2012,60.5
NOR,Norway,2012,56.4
NPL,Nepal,2012,26.0
NZL,New Zealand,2012,56.6
OMN,Oman,2012,39.5
PAK,Pakistan,2012,23.1
PAN,Panama,2012,30.9
PER,Peru,2012,34.1
PHL,Philippines,2012,29.0
POL,Poland,2012,40.4
PRT,Portugal,2012,45.3
PRY,Paraguay,2012,31.6
QAT,Qatar,2012,45.5
ROU,Romania,2012,37.8
RUS,Russian Federation,2012,37.9
RWA,Rwanda,2012,27.9
SAU,Saudi Arabia,2012,39.3
SDN,Sudan,2012,16.8
SEN,Senegal,2012,28.8
SGP,Singapore,2012,63.5
SLV,El Salvador,2012,29.5
SRB,Serbia,2012,40.0
SVK,Slovakia,2012,41.4
