iso3,country,year,EduIdx,LifeExpIdx
AFG,Afghanistan,1996,0.1677,0.5051
AFG,Afghanistan,2004,0.2601,0.5817
AFG,Afghanistan,2012,0.3385,0.6421
AFG,Afghanistan,2018,0.378,0.653
AFG,Afghanistan,2024,0.3836,0.7082
ALB,Albania,1996,0.5364,0.8325
ALB,Albania,2004,0.6186,0.8608
ALB,Albania,2012,0.7562,0.8936
ALB,Albania,2018,0.7471,0.9114
ALB,Albania,2024,0.7422,0.917
DZA,Algeria,1996,0.4475,0.7418
DZA,Algeria,2004,0.5434,0.8082
DZA,Algeria,2012,0.5964,0.8401
DZA,Algeria,2018,0.6479,0.8547
DZA,Algeria,2024,0.6776,0.8656
AND,Andorra,1996,,0.9386
AND,Andorra,2004,0.6472,0.9664
AND,Andorra,2012,0.7068,0.9898
AND,Andorra,2018,0.695,0.9883
AND,Andorra,2024,0.791,0.9852
AGO,Angola,1996,,0.4064
AGO,Angola,2004,0.3009,0.4788
AGO,Angola,2012,0.4217,0.5987
AGO,Angola,2018,0.5255,0.6557
AGO,Angola,2024,0.5365,0.6864
ATG,Antigua and Barbuda,1996,,0.8283
ATG,Antigua and Barbuda,2004,,0.8512
ATG,Antigua and Barbuda,2012,0.7944,0.8785
ATG,Antigua and Barbuda,2018,0.8231,0.879
ATG,Antigua and Barbuda,2024,0.8189,0.8861
ARG,Argentina,1996,0.6642,0.8162
ARG,Argentina,2004,0.7864,0.8442
ARG,Argentina,2012,0.8384,0.8585
ARG,Argentina,2018,0.8661,0.8734
ARG,Argentina,2024,0.8728,0.883
ARM,Armenia,1996,0.6145,0.7569
ARM,Armenia,2004,0.6519,0.7989
ARM,Armenia,2012,0.7332,0.8222
ARM,Armenia,2018,0.7585,0.8458
ARM,Armenia,2024,0.7777,0.8567
AUS,Australia,1996,0.8775,0.8976
AUS,Australia,2004,0.8837,0.9344
AUS,Australia,2012,0.91,0.9584
AUS,Australia,2018,0.9153,0.9732
AUS,Australia,2024,0.929,0.9834
AUT,Austria,1996,0.7739,0.8773
AUT,Austria,2004,0.8138,0.9133
AUT,Austria,2012,0.8446,0.936
AUT,Austria,2018,0.8521,0.949
AUT,Austria,2024,0.8644,0.9532
AZE,Azerbaijan,1996,0.6552,0.6563
AZE,Azerbaijan,2004,0.6709,0.7306
AZE,Azerbaijan,2012,0.6853,0.7858
AZE,Azerbaijan,2018,0.7247,0.8156
AZE,Azerbaijan,2024,0.7276,0.8374
BHS,Bahamas,1996,0.6708,0.7918
BHS,Bahamas,2004,0.6993,0.819
BHS,Bahamas,2012,0.7252,0.8263
BHS,Bahamas,2018,0.7461,0.8317
BHS,Bahamas,2024,0.7575,0.8393
BHR,Bahrain,1996,0.5346,0.8248
BHR,Bahrain,2004,0.6236,0.8583
BHR,Bahrain,2012,0.6722,0.9173
BHR,Bahrain,2018,0.7963,0.9294
BHR,Bahrain,2024,0.8134,0.9428
BGD,Bangladesh,1996,0.3181,0.5991
BGD,Bangladesh,2004,0.3874,0.691
BGD,Bangladesh,2012,0.4544,0.7537
BGD,Bangladesh,2018,0.5296,0.8019
BGD,Bangladesh,2024,0.5683,0.8411
BRB,Barbados,1996,0.6831,0.8318
BRB,Barbados,2004,0.7272,0.8485
BRB,Barbados,2012,0.7604,0.8575
BRB,Barbados,2018,0.7809,0.8674
BRB,Barbados,2024,0.7928,0.8643
BLR,Belarus,1996,0.6782,0.7472
BLR,Belarus,2004,0.7676,0.749
BLR,Belarus,2012,0.8207,0.7969
BLR,Belarus,2018,0.809,0.8359
BLR,Belarus,2024,0.7923,0.8374
BEL,Belgium,1996,0.8309,0.8798
BEL,Belgium,2004,0.8643,0.9071
BEL,Belgium,2012,0.8833,0.9271
BEL,Belgium,2018,0.9103,0.9459
BEL,Belgium,2024,0.923,0.9556
BLZ,Belize,1996,0.526,0.7594
BLZ,Belize,2004,0.6267,0.7716
BLZ,Belize,2012,0.6882,0.7867
BLZ,Belize,2018,0.6654,0.805
BLZ,Belize,2024,0.625,0.8241
BEN,Benin,1996,0.224,0.5484
BEN,Benin,2004,0.3155,0.5746
BEN,Benin,2012,0.4082,0.5932
BEN,Benin,2018,0.4068,0.6109
BEN,Benin,2024,0.3967,0.6273
BTN,Bhutan,1996,,0.6151
BTN,Bhutan,2004,,0.6968
BTN,Bhutan,2012,0.4226,0.7655
BTN,Bhutan,2018,0.5107,0.7956
BTN,Bhutan,2024,0.5599,0.815
BOL,Bolivia (Plurinational State of),1996,0.5758,0.6198
BOL,Bolivia (Plurinational State of),2004,0.65,0.6741
BOL,Bolivia (Plurinational State of),2012,0.6871,0.7167
BOL,Bolivia (Plurinational State of),2018,0.7432,0.7338
BOL,Bolivia (Plurinational State of),2024,0.7677,0.7474
BIH,Bosnia and Herzegovina,1996,,0.8224
BIH,Bosnia and Herzegovina,2004,0.5538,0.8691
BIH,Bosnia and Herzegovina,2012,0.6344,0.8775
BIH,Bosnia and Herzegovina,2018,0.7042,0.8914
BIH,Bosnia and Herzegovina,2024,0.7313,0.89
BWA,Botswana,1996,0.532,0.5274
BWA,Botswana,2004,0.5938,0.5165
BWA,Botswana,2012,0.6342,0.6213
BWA,Botswana,2018,0.6613,0.7134
BWA,Botswana,2024,0.6666,0.7564
BRA,Brazil,1996,0.5527,0.7401
BRA,Brazil,2004,0.6104,0.7902
BRA,Brazil,2012,0.6633,0.8359
BRA,Brazil,2018,0.6967,0.8559
BRA,Brazil,2024,0.7195,0.8592
BRN,Brunei Darussalam,1996,0.5908,0.8166
BRN,Brunei Darussalam,2004,0.6316,0.84
BRN,Brunei Darussalam,2012,0.7053,0.8437
BRN,Brunei Darussalam,2018,0.6919,0.846
BRN,Brunei Darussalam,2024,0.6899,0.8512
BGR,Bulgaria,1996,0.6329,0.7821
BGR,Bulgaria,2004,0.7276,0.8088
BGR,Bulgaria,2012,0.768,0.836
BGR,Bulgaria,2018,0.8105,0.8451
BGR,Bulgaria,2024,0.8073,0.8559
BFA,Burkina Faso,1996,,0.4568
BFA,Burkina Faso,2004,,0.5015
BFA,Burkina Faso,2012,0.2428,0.5763
BFA,Burkina Faso,2018,0.3126,0.615
BFA,Burkina Faso,2024,0.3181,0.6322
BDI,Burundi,1996,0.1853,0.3816
BDI,Burundi,2004,0.2402,0.4956
BDI,Burundi,2012,0.3744,0.5923
BDI,Burundi,2018,0.3831,0.6432
BDI,Burundi,2024,0.3888,0.6716
CPV,Cabo Verde,1996,,0.7003
CPV,Cabo Verde,2004,0.4905,0.7769
CPV,Cabo Verde,2012,0.5362,0.8202
CPV,Cabo Verde,2018,0.5291,0.8437
CPV,Cabo Verde,2024,0.5188,0.8624
KHM,Cambodia,1996,0.314,0.5666
KHM,Cambodia,2004,0.4221,0.6655
KHM,Cambodia,2012,0.4327,0.7442
KHM,Cambodia,2018,0.4603,0.7691
KHM,Cambodia,2024,0.4843,0.7795
CMR,Cameroon,1996,0.2976,0.5108
CMR,Cameroon,2004,0.3488,0.532
CMR,Cameroon,2012,0.4982,0.5872
CMR,Cameroon,2018,0.5349,0.6337
CMR,Cameroon,2024,0.5189,0.6723
CAN,Canada,1996,0.8606,0.8965
CAN,Canada,2004,0.8641,0.9235
CAN,Canada,2012,0.89,0.9493
CAN,Canada,2018,0.9021,0.9527
CAN,Canada,2024,0.9037,0.9635
CAF,Central African Republic,1996,0.2011,0.4262
CAF,Central African Republic,2004,0.2438,0.4261
CAF,Central African Republic,2012,0.2878,0.4821
CAF,Central African Republic,2018,0.3245,0.4969
CAF,Central African Republic,2024,0.3395,0.5755
TCD,Chad,1996,,0.4239
TCD,Chad,2004,0.2078,0.4413
TCD,Chad,2012,0.2741,0.4733
TCD,Chad,2018,0.2915,0.4992
TCD,Chad,2024,0.3097,0.5395
CHL,Chile,1996,0.6359,0.8547
CHL,Chile,2004,0.7141,0.8966
CHL,Chile,2012,0.754,0.9111
CHL,Chile,2018,0.82,0.9317
