iso3,country,year,GovEff,RuleLaw,RegQual,CtrlCorr,PolStab,GDPpcPPP,ResRents,ODA,RD
ABW,Aruba,1996,,,,,,26004.4956276389,0.00081940211530906,1.43385017961099,
ABW,Aruba,2004,68.7456317,67.4120272,66.5858702,67.4139308,76.6423908,35059.2730975712,0.00158368130684963,,
ABW,Aruba,2012,70.8190661,80.1280418,77.9453037,68.6799032,88.3722215,34095.6471714416,0.00340775585550675,,
ABW,Aruba,2018,68.9696501,79.2207245,70.3897634,71.394461,88.683848,39287.0597126122,0.00188469168678285,,
ABW,Aruba,2024,64.1110309,77.9628011,70.3329342,65.4406362,88.6165004,50649.3015232212,,,
AFE,Africa Eastern and Southern,1996,,,,,,1994.83106417251,7.91189755842457,3.13692820774197,
AFE,Africa Eastern and Southern,2004,,,,,,2486.0910302572,8.23755974901512,3.78603162470549,0.626100578625712
AFE,Africa Eastern and Southern,2012,,,,,,3244.66434472389,11.6995532431167,2.80593616795638,0.586779084367876
AFE,Africa Eastern and Southern,2018,,,,,,3723.21642264024,7.54909239311972,2.78029869944912,
AFE,Africa Eastern and Southern,2024,,,,,,4635.7882240455,,,
AFG,Afghanistan,1996,5.8680866,23.9701623,15.5938597,13.088573,17.7644852,,,,
AFG,Afghanistan,2004,28.8607414,26.9097642,29.536868,17.3443576,28.4642015,971.633503046666,0.458919792113206,42.8700215159715,
AFG,Afghanistan,2012,22.1784637,24.547485,35.0839368,14.7503847,23.1217311,1988.42930381554,0.684675468598181,33.3985428529927,
AFG,Afghanistan,2018,19.6224247,28.27664,34.3129099,16.686024,21.7827865,2432.27670083336,0.855264249305936,20.73019959214,
AFG,Afghanistan,2024,13.7358099,23.6535886,30.5994864,21.3643608,28.2258568,2201.72290691677,,17.7569368063585,
AFW,Africa Western and Central,1996,,,,,,2259.8409562788,18.4176283862275,,
AFW,Africa Western and Central,2004,,,,,,3184.34532967062,13.4477095695287,,
AFW,Africa Western and Central,2012,,,,,,4661.17527587174,16.1216507786234,2.21624589615732,
AFW,Africa Western and Central,2018,,,,,,5179.3599900769,10.0023935267185,2.2436813846579,0.27753675622014
AFW,Africa Western and Central,2024,,,,,,6815.99096115117,,,
AGO,Angola,1996,40.2507295,29.9402231,28.7646677,25.2637507,23.5257349,3341.9118881012,41.3617166839795,7.87884949686743,
AGO,Angola,2004,21.5583861,31.9419501,32.3237569,23.102135,46.0945227,4770.68802563462,33.7707170143085,4.66993208939054,
AGO,Angola,2012,31.523145,33.8355285,38.501282,18.718187,58.3535602,8246.36081151609,34.7310076331615,0.182957586902703,
AGO,Angola,2018,32.3152788,37.851326,38.1066148,23.9337463,58.96248,8278.36886170469,32.045405604301,0.195071836213746,0.03229
AGO,Angola,2024,36.0732109,36.8326485,42.6711683,35.2528671,56.0964488,10118.6089945408,,0.148499031525698,
ALB,Albania,1996,32.4784433,50.1733565,42.4033948,30.9014999,53.5520676,3054.03520620926,1.36152948949073,6.85514828714784,
ALB,Albania,2004,42.591527,48.1099326,50.3227992,32.5637023,55.5004905,5594.79162347874,0.868821575977377,3.97229958865568,
ALB,Albania,2012,44.742022,50.0421215,53.5446213,31.2036027,59.5782307,10608.8448172721,3.23145242472225,2.87261902266221,
ALB,Albania,2018,56.5605037,53.9639778,56.6600998,35.9708424,68.4601043,15055.2807998752,1.71111628143642,2.24263943411111,
ALB,Albania,2024,57.4136957,54.925199,57.0035209,39.3379974,66.243999,26701.6749563776,,1.55490014914216,0.19997
AND,Andorra,1996,66.1026449,74.0280057,77.2145681,75.4363736,87.2499382,26541.5814456738,0.0,,
AND,Andorra,2004,68.7456317,69.5574894,74.734069,66.6483757,83.7435366,42717.2377735456,0.0,,
AND,Andorra,2012,76.0047104,82.0452573,83.3850244,74.6674341,88.5286053,45503.0444832658,0.0,,
AND,Andorra,2018,86.3552853,84.8085442,76.103697,71.6026897,88.5958436,55244.6554088177,0.0,,
AND,Andorra,2024,73.8768133,81.2301636,72.2449856,71.6636167,92.2648945,74939.4746038578,,,0.15818
ARB,Arab World,1996,,,,,,8435.50449974721,22.5403146052347,1.10406741120957,
ARB,Arab World,2004,,,,,,11487.5173343695,29.0399592018759,1.18729363686401,
ARB,Arab World,2012,,,,,,16106.5306414277,34.4082052971307,0.538040342404972,0.551613157763376
ARB,Arab World,2018,,,,,,15558.1307966245,23.1576538692586,1.16169669901296,0.692556634012712
ARB,Arab World,2024,,,,,,18870.3148110507,,,
ARE,United Arab Emirates,1996,60.5301346,67.7539471,62.3285755,52.7409578,83.8909764,94619.5987985934,20.7195621529487,,
ARE,United Arab Emirates,2004,62.6199059,59.7939727,65.5248211,63.5406545,75.7775322,98661.4370562637,22.2210170035245,,
ARE,United Arab Emirates,2012,73.8196342,63.2841209,68.198457,69.9074996,79.6105819,89198.0119017025,28.2144669709365,,0.47252
ARE,United Arab Emirates,2018,78.7848806,63.6651728,71.8838453,70.015474,80.134659,77446.2269929923,18.1866824883602,,1.26389
ARE,United Arab Emirates,2024,75.8392807,65.5157588,72.6169592,71.5418396,79.3661459,79228.738801276,,,
ARG,Argentina,1996,55.2187322,59.1912023,58.5718042,43.3037026,66.3960884,10495.8392452531,1.59598410207505,0.0459182667317131,0.41749
ARG,Argentina,2004,50.8770497,45.5973455,44.2792775,39.6472232,60.2836786,12117.6797423098,4.29522015828479,0.0665053348932013,0.40376
ARG,Argentina,2012,51.3675738,48.0993618,41.598513,37.393715,67.2692554,19430.4178068112,3.62564790864033,0.0333469336246936,0.63491
ARG,Argentina,2018,56.3521358,53.4845358,51.8641165,47.7387342,67.9516636,24410.3919063335,2.0371251352841,0.0144682760468869,0.4883
ARG,Argentina,2024,54.9132764,52.6382821,51.156098,41.2619998,62.9948599,30431.1931223693,,0.040758200266422,0.60111
ARM,Armenia,1996,46.0244582,52.4348395,42.7566052,36.2702248,45.4533819,1921.54998904796,0.315447039873551,17.8033051086014,0.18692
ARM,Armenia,2004,47.5367285,52.7125996,57.7715765,34.249229,62.1107402,4377.22759682551,0.0217229048828517,6.87581619431207,0.25659
ARM,Armenia,2012,51.9498386,50.8150232,61.2996669,35.3382337,66.8552572,8942.63537897164,1.49013408946162,2.45016533654051,0.23853
ARM,Armenia,2018,47.9754653,53.2014077,59.3615549,44.5303761,65.8279441,12877.4937543553,1.09866113638474,1.12034368334217,0.18876
ARM,Armenia,2024,44.2622836,54.5140043,57.0391218,50.7833909,53.5393178,22823.1795255693,,0.870714878852333,0.2861
ASM,American Samoa,2004,50.0871189,66.3475883,56.4006331,61.2894861,72.8904941,,0.0,,0.32528
ASM,American Samoa,2012,55.9265237,74.9156409,63.7784327,55.7199429,82.698392,,0.0,,
ASM,American Samoa,2018,66.2771005,79.7988389,53.6961704,84.2343525,87.4284341,,0.0,,
ASM,American Samoa,2024,66.2614695,75.6655388,61.0412254,71.6636167,87.2981254,,,,
ATG,Antigua and Barbuda,1996,66.1026449,73.8184998,63.2098573,65.962627,77.9640044,16016.9331941163,0.0,0.592719891258644,
ATG,Antigua and Barbuda,2004,61.2605298,69.9170709,58.6141978,60.3873958,82.3920916,21628.6836541675,0.0,0.196010005239846,
ATG,Antigua and Barbuda,2012,65.9656171,74.6901927,63.7784327,74.6674341,81.7788673,23011.7386611366,0.0,0.163292591926087,
ATG,Antigua and Barbuda,2018,46.1989138,66.9759872,62.5055435,52.4338411,79.3888593,24524.2137953887,0.0,1.1106876858296,
ATG,Antigua and Barbuda,2024,59.7008199,67.3216504,64.8713859,53.6112689,84.2254939,33386.1917127894,,,
AUS,Australia,1996,82.473312,86.05236,69.4978249,91.3808672,91.5811232,22133.8442785709,2.05152656701842,,1.66218
AUS,Australia,2004,86.1267675,86.7015821,84.5128293,83.7516182,81.3798633,31814.504982852,3.14042166653573,,1.84802
AUS,Australia,2012,84.4838431,85.1023997,85.3016826,87.6005622,82.7642194,43007.2697824131,5.29813880381044,,2.17733
AUS,Australia,2018,84.8771645,85.1195657,83.6957403,83.6549548,80.9961371,50371.233830782,5.22752063881788,,1.82826
AUS,Australia,2024,86.5155896,82.2713526,82.026233,85.3425462,79.4447025,72111.1844628126,,,
AUT,Austria,1996,86.1008992,88.6506495,76.2414762,86.9234728,90.1327589,24426.7640962842,0.143216446581989,,1.58947
