iso3,country,year,Track,GovEff,RuleLaw,RegQual,CPI,CtrlCorr,GII,RD,ECI,EduIdx,LifeExpIdx,GDPpcPPP,ResRents,ODA,PolStab,FSI,P1,P2,P3,P4,P5,v1_raw,v1_MScore,P1_GPA,P2_GPA,P3_GPA,P4_GPA,P5_GPA,v2_GPA,pillar_spread,config_profile,gap_count,gaps_noted
SWE,Sweden,1996,2,85.5208,86.7243,73.7626,,98.0274,,3.2727,1.6250,0.8161,0.9084,23951.7671,0.3045,,92.4104,,0.8601,0.7200,0.8622,0.8937,0.9241,0.8386,0.9014,3.7938,3.9857,3.8103,3.3591,3.9358,3.7989,0.0783,P5>P4>P3>P1>P2,1,ODA
CHE,Switzerland,1996,2,87.0414,90.7251,74.6972,,90.5103,,2.3765,1.6220,0.7521,0.9084,31509.4795,0.0184,,91.8069,,0.8574,0.6491,0.8302,0.9097,0.9181,0.8164,0.8425,3.8413,3.8451,3.7303,3.5894,3.9144,3.8239,0.1090,P5>P4>P1>P3>P2,1,ODA
FIN,Finland,1996,2,83.7406,90.1637,74.6535,,95.7261,,2.4551,1.5440,0.8113,0.8749,20067.4534,0.4738,,92.4866,,0.8607,0.6483,0.8431,0.8834,0.9249,0.8150,0.8388,3.8188,3.8797,3.6277,3.2240,3.9572,3.7387,0.1072,P5>P4>P1>P3>P2,1,ODA
NLD,Netherlands,1996,2,88.8672,86.6886,79.4886,,93.4110,,1.8373,1.0400,0.8540,0.8855,24564.1192,0.4856,,93.3393,,0.8711,0.5544,0.8698,0.8938,0.9334,0.8024,0.8053,3.8993,3.3767,3.7723,3.3201,4.0000,3.7399,0.1532,P5>P4>P1>P3>P2,1,ODA
DEU,Germany,1996,2,85.9133,86.1730,73.0815,,89.1071,,2.1366,1.5680,0.8279,0.8736,24169.0699,0.0823,,87.7216,,0.8357,0.6253,0.8508,0.8956,0.8772,0.8023,0.8049,3.7192,3.7256,3.6605,3.4488,3.5936,3.6738,0.1096,P4>P5>P3>P1>P2,1,ODA
JPN,Japan,1996,2,73.2135,80.8315,60.7317,,72.2621,,2.6430,1.9750,0.8066,0.9287,24999.4894,0.0191,,88.4939,,0.7176,0.7018,0.8677,0.8978,0.8849,0.7964,0.7894,3.3177,3.9789,3.8195,3.5387,3.7005,3.6358,0.0959,P4>P5>P3>P1>P2,1,ODA
USA,United States,1996,2,85.2032,83.3933,76.2753,,81.8522,,2.4501,1.2440,0.8768,0.8642,29967.7127,0.9991,,82.0872,,0.8168,0.6210,0.8705,0.9006,0.8209,0.7958,0.7876,3.7212,3.7444,3.7097,3.2308,3.2086,3.5800,0.1092,P4>P3>P5>P1>P2,1,ODA
DNK,Denmark,1996,2,85.9359,89.0483,78.7778,,95.5410,,1.8081,1.0970,0.8219,0.8564,23722.7801,0.5370,,90.4751,,0.8733,0.5572,0.8392,0.8916,0.9048,0.7942,0.7836,3.9023,3.3985,3.5754,3.2694,3.8289,3.6751,0.1452,P5>P4>P1>P3>P2,1,ODA
NOR,Norway,1996,2,88.2250,90.1613,76.2672,,93.1109,,1.5935,1.2510,0.8370,0.8959,26826.3013,8.0435,,92.7293,,0.8694,0.5541,0.8664,0.8479,0.9273,0.7915,0.7763,3.8804,3.3872,3.8000,2.7938,3.9786,3.6307,0.1478,P5>P1>P3>P4>P2,1,ODA
AUT,Austria,1996,2,86.1009,88.6506,76.2415,,86.9235,,1.5895,1.4320,0.7739,0.8773,24426.7641,0.1432,,90.1328,,0.8448,0.5700,0.8256,0.8958,0.9013,0.7881,0.7673,3.8048,3.4233,3.6318,3.4265,3.7861,3.6793,0.1367,P5>P4>P1>P3>P2,1,ODA
CAN,Canada,1996,2,85.8946,87.1595,73.5470,,91.9717,,1.6068,1.1820,0.8606,0.8965,24054.9166,3.2030,,87.9695,,0.8464,0.5489,0.8785,0.8746,0.8797,0.7874,0.7655,3.7611,3.3226,3.8369,2.9390,3.6578,3.5641,0.1442,P5>P3>P4>P1>P2,1,ODA
AUS,Australia,1996,2,82.4733,86.0524,69.4978,,91.3809,,1.6622,0.7620,0.8775,0.8976,22133.8443,2.0515,,91.5811,,0.8235,0.5156,0.8875,0.8780,0.9158,0.7795,0.7444,3.6697,3.0932,3.8974,3.0171,3.8930,3.5616,0.1647,P5>P3>P4>P1>P2,1,ODA
GBR,United Kingdom,1996,2,83.6073,85.4431,82.1984,,89.3625,,1.5754,1.3550,0.7583,0.8750,21946.6006,0.8550,,83.8590,,0.8515,0.5620,0.8166,0.8855,0.8386,0.7777,0.7396,3.7967,3.3737,3.5979,3.1571,3.3583,3.5413,0.1304,P4>P1>P5>P3>P2,1,ODA
SGP,Singapore,1996,2,94.7718,81.4286,84.2606,,87.4922,,1.3199,0.9560,0.7569,0.8623,36872.7036,0.0008,,85.8876,,0.8699,0.5060,0.8096,0.9180,0.8589,0.7754,0.7335,3.8539,3.0812,3.5026,3.6736,3.5080,3.6289,0.1647,P4>P1>P5>P3>P2,1,ODA
BEL,Belgium,1996,2,83.9667,81.0445,71.7107,,78.2349,,1.7430,1.2360,0.8309,0.8798,22745.2146,0.0226,,87.5014,,0.7874,0.5645,0.8554,0.8929,0.8750,0.7751,0.7329,3.5915,3.4564,3.7354,3.4766,3.5722,3.6041,0.1349,P4>P5>P3>P1>P2,1,ODA
NZL,New Zealand,1996,2,89.9256,88.4773,81.2242,,95.2611,,1.0565,0.6090,0.8626,0.8740,18392.1664,1.6402,,89.7343,,0.8872,0.4541,0.8683,0.8712,0.8973,0.7730,0.7271,3.9419,2.7398,3.7374,2.9886,3.7647,3.5493,0.1913,P5>P1>P4>P3>P2,1,ODA
FRA,France,1996,2,81.0104,81.3653,66.2149,,76.3572,,2.2322,1.2460,0.7307,0.8932,21268.4888,0.0731,,79.8813,,0.7624,0.6040,0.8119,0.8891,0.7988,0.7617,0.6972,3.5142,3.6955,3.6031,3.3978,3.1016,3.5015,0.1053,P4>P3>P5>P1>P2,1,ODA
IRL,Ireland,1996,2,79.7981,82.9985,75.9953,,86.0091,,1.2716,1.1260,0.7186,0.8589,20481.5734,0.1262,,89.6979,,0.8120,0.5175,0.7888,0.8868,0.8970,0.7572,0.6852,3.6663,3.1602,3.4123,3.3417,3.7433,3.5338,0.1542,P5>P4>P1>P3>P2,1,ODA
CHL,Chile,1996,2,70.8408,77.4607,75.1987,,80.0529,,,0.2220,0.6359,0.8547,7895.1983,4.9587,0.2584,77.3399,,0.7589,0.6731,0.7453,0.8011,0.7734,0.7446,0.6519,3.5387,2.0857,3.0615,2.2305,2.7807,2.8969,0.0479,P4>P5>P1>P3>P2,1,RD
ISR,Israel,1996,2,77.8229,77.2902,65.9521,,81.6081,,2.4753,1.0890,0.7105,0.9011,21671.6202,0.0032,1.9546,49.1880,,0.7567,0.6091,0.8058,0.8580,0.4919,0.7234,0.5956,3.4733,3.6579,3.6113,2.9419,0.8556,3.0327,0.1507,P4>P3>P1>P2>P5,0,
SVN,Slovenia,1996,2,66.3938,75.1451,65.8089,,75.4309,,1.2669,1.2490,0.6630,0.8430,14284.3393,0.1932,0.3818,87.8864,,0.7069,0.5281,0.7530,0.8614,0.8789,0.7195,0.5854,3.3215,3.2677,3.1344,2.8731,3.6150,3.2740,0.1414,P5>P4>P3>P1>P2,0,
HKG,"Hong Kong SAR, China",1996,2,82.3755,74.3670,76.4809,,76.0730,,0.4283,0.9720,0.6361,0.9147,25098.1950,0.0015,0.0083,78.4691,,0.7732,0.4371,0.7754,0.8980,0.7847,0.7157,0.5753,3.5641,2.4008,3.3826,3.4259,2.9519,3.2706,0.1738,P4>P5>P3>P1>P2,0,
KOR,"Korea, Rep.",1996,2,64.8696,70.4775,58.1775,,60.4805,,2.1423,1.1390,0.7450,0.8311,15163.5568,0.0229,-0.0237,77.1224,,0.6350,0.5873,0.7880,0.8724,0.7712,0.7148,0.5728,2.8670,3.5466,3.3631,3.5442,2.7594,3.1952,0.1170,P4>P3>P5>P1>P2,0,
ITA,Italy,1996,2,65.4922,72.9119,63.2248,,61.9341,,0.9442,1.2310,0.6831,0.8990,23100.7867,0.0801,,85.0536,,0.6589,0.5011,0.7911,0.8933,0.8505,0.7119,0.5652,3.0951,3.1053,3.5210,3.4262,3.4652,3.3212,0.1597,P4>P5>P3>P1>P2,1,ODA
ESP,Spain,1996,2,77.9048,79.5395,68.8943,,78.4397,,0.7880,1.0020,0.6776,0.8975,16971.2538,0.0597,,69.1661,,0.7619,0.4682,0.7875,0.8775,0.6917,0.7097,0.5593,3.5105,2.8782,3.4605,3.3638,2.3316,3.2248,0.1544,P4>P3>P1>P5>P2,1,ODA
ISL,Iceland,1996,2,76.5657,84.1154,66.1378,,84.2967,,1.7981,,0.8164,0.9022,24776.2989,0.0000,,91.2341,,0.7778,0.2827,0.8593,0.8975,0.9123,0.7077,0.5540,3.5556,3.3263,3.8082,3.6619,3.8717,3.6690,0.2642,P5>P4>P3>P1>P2,2,ECI; ODA
